epoch#, log10(loss), log10(val_loss)
144, -3.1142161351060307, -3.0467990157977365
145, -3.115066649138563, -3.044591471602678
146, -3.115626205553666, -3.049561250077739
147, -3.1156823922381083, -3.0481415163998875
148, -3.1171187563643894, -3.043959935083157
149, -3.1172393386318764, -3.0463886460215797
150, -3.1186583449918093, -3.0474409852925315
151, -3.1175710297547328, -3.044016330410124
152, -3.1189690132140893, -3.0455306056640072
153, -3.1186279481334878, -3.053651763006993
154, -3.1188879681350667, -3.0451141680073315
155, -3.1207701300822035, -3.048857465164972
156, -3.120341161040796, -3.0485936346075704
157, -3.120918946768241, -3.0557375397034874
158, -3.1212036335290216, -3.052848467463391
159, -3.121457944880391, -3.0500375135225113
160, -3.121266328437592, -3.0464660355836943
161, -3.1212121883777595, -3.0509482586354433
162, -3.1230726549993864, -3.059011233145135
163, -3.1240388812151467, -3.054416917189082
164, -3.1229203475516707, -3.0540327544803025
165, -3.1238682460714764, -3.0568253973782666
166, -3.1242531612579447, -3.054286619509544
167, -3.1243034746930163, -3.0493732019865374
168, -3.1254984392313845, -3.052258074525381
169, -3.125750179623985, -3.0525422006226557
170, -3.125860144506824, -3.057905992574754
171, -3.1259548325287714, -3.0558064661104534
172, -3.126862187818393, -3.045088954938359
173, -3.1266140993539357, -3.049886546200032
174, -3.1268383881957185, -3.054980558085082
175, -3.128204218071131, -3.0521058774337995
176, -3.128250100559888, -3.0568157739123794
177, -3.1277781263045905, -3.056413536713493
178, -3.128412783021409, -3.0559929211514514
179, -3.128739350933707, -3.0595788715178744
180, -3.129271535353785, -3.0594172759316813
181, -3.129847186128466, -3.059580959260078
182, -3.129132421278618, -3.0590759601606146
183, -3.1298113602830337, -3.055824288729555
184, -3.1315930370360117, -3.060281760599221
185, -3.1319556428357234, -3.0597091426573075
186, -3.130698877018111, -3.0541791562089595
187, -3.1319760591136627, -3.0616490919217383
188, -3.132372585529885, -3.0482272414074965
189, -3.13197568229447, -3.0554259265490926
190, -3.1335218478298543, -3.058561943214901
191, -3.134210237166696, -3.0509964998996186
192, -3.133681221190037, -3.0598347526820726
193, -3.134383779655958, -3.065443689495089
194, -3.134498778127648, -3.064202625021014
195, -3.134793337873795, -3.0642006614758066
196, -3.134236234849838, -3.0651088835392257
197, -3.1358736740793716, -3.063103608379255
198, -3.135340695941042, -3.0581026853196396
199, -3.1353979384026847, -3.063892963508239
200, -3.136070947480916, -3.062275127520194
201, -3.136192965786656, -3.0578619742602595
202, -3.1371199433061414, -3.0617190795936198
203, -3.136972505735359, -3.0635144628117263
204, -3.1368036759927995, -3.0588478801527064
205, -3.137310362243219, -3.0615975553393775
206, -3.1375544368978017, -3.069902835247165
207, -3.1379088945761646, -3.0674463005892583
208, -3.138935853598219, -3.059032807745104
209, -3.139327952987988, -3.060438448514754
210, -3.138891960781426, -3.068511916107801
211, -3.140715171322057, -3.0653615212085867
212, -3.1395996943886204, -3.0616021290001854
213, -3.1403212244024936, -3.0640544462645196
214, -3.1404933138686273, -3.059629212098588
215, -3.140708355616293, -3.0674346673364923
216, -3.1408041348296645, -3.0635482305220916
217, -3.141368017307639, -3.0657342243605554
218, -3.142544699248698, -3.0678285701497976
219, -3.141995027660214, -3.068025788659196
220, -3.142303592954614, -3.0646139929426424
221, -3.1424170236175764, -3.0621768707374546
222, -3.142478014055167, -3.0606176893213517
223, -3.1429647705138324, -3.0642127359540545
224, -3.1429701812038724, -3.0688378933077454
225, -3.1430110797687876, -3.067438859995736
226, -3.1433612292938324, -3.0728908248937397
227, -3.144531095683392, -3.0672521487443976
228, -3.143400406229837, -3.0638965656793156
229, -3.144862782204471, -3.06958632451671
230, -3.1450152531947557, -3.0697224228732938
231, -3.1455699648931064, -3.0642053505537024
232, -3.145396099722556, -3.0685342638936137
233, -3.1459546945539096, -3.068451064920108
234, -3.145107467647011, -3.0701255966444174
235, -3.1467191531505643, -3.073426375263936
236, -3.146575364781268, -3.0699864019312466
237, -3.145977831629747, -3.0664797666764922
238, -3.14593895214123, -3.0704507065653917
239, -3.1473564980132367, -3.069016930996192
240, -3.1475920461388567, -3.062242479763231
241, -3.1482121464502333, -3.0661176090604236
242, -3.1482482425846623, -3.06936885155867
243, -3.1474020356387973, -3.0707055793227163
244, -3.147627451527481, -3.0627260283636124
245, -3.1483186653544886, -3.0696192026371913
246, -3.1491005201509283, -3.0682382712028917
247, -3.1496431733833026, -3.070515436617847
248, -3.1484181302939582, -3.0705267661124207
249, -3.149378411961143, -3.0714398656184576
250, -3.148981376288687, -3.0652892400765017
251, -3.148975747692299, -3.071679308432126
252, -3.1501302450374613, -3.0760981442938595
253, -3.150171680616345, -3.0716221854712757
254, -3.1509804655820233, -3.071381731307909
255, -3.150955271125984, -3.067042183428355
256, -3.1510837280194477, -3.0682958383025074
257, -3.1503971451450155, -3.0652025479688674
258, -3.151261998504116, -3.069166575779136
259, -3.151510603713248, -3.0732206154054746
260, -3.1521856358497775, -3.0777058780688
261, -3.1515502360797516, -3.072425398931622
262, -3.151499316675624, -3.073548949715315
263, -3.153680251225931, -3.0664129253130428
264, -3.1524805205410806, -3.0784619488139735
265, -3.1527994323825808, -3.07744308825838
266, -3.1528863771061655, -3.066038992027941
267, -3.15214311056975, -3.0583349714130046
268, -3.1531809108245885, -3.0798147913484057
269, -3.1536521269285394, -3.0735175692773358
270, -3.153064598100427, -3.0680315540365974
271, -3.153811065746966, -3.0767667621810957
272, -3.1545006900501726, -3.072024829923272
273, -3.154278314499171, -3.0724650042203967
274, -3.1550098229904697, -3.0764961284268115
275, -3.1553902480377722, -3.0789211291276404
276, -3.1552764867321414, -3.0659810758909813
277, -3.1558457000622044, -3.0772666746089206
278, -3.155650887122481, -3.077979687072035
279, -3.15556241069881, -3.0638000788135953
280, -3.1549940017518185, -3.073831206064625
281, -3.1549639863282435, -3.0754414712900577
282, -3.1559848798246657, -3.074134005052842
283, -3.156590912917389, -3.0795395500473033
284, -3.156661940219825, -3.0715490337371008
285, -3.1564770541763463, -3.0744399858648124
286, -3.1567277931598863, -3.0761586606538383
287, -3.157435798756279, -3.0702684616771148
288, -3.156884959493384, -3.0794575246504765
289, -3.157058986080433, -3.080543870713062
290, -3.1574432090279485, -3.0748190338000168
291, -3.1572540324202567, -3.0755278854201453
292, -3.1580551742404706, -3.07456728890012
293, -3.1579736987632465, -3.0792376321781636
294, -3.1584188721579767, -3.079255987696092
295, -3.1588663245618904, -3.078590921144979
296, -3.158599779156591, -3.065922225940063
297, -3.1589228535023306, -3.080687891464908
298, -3.158823212978684, -3.076922904147228
299, -3.1585931139748635, -3.0790694043494833
300, -3.1582509961285576, -3.073189438198623
301, -3.160313863990349, -3.0793500225900745
302, -3.159213085631553, -3.080606835871761
303, -3.1605764877850455, -3.077207483345669
304, -3.1608620061025463, -3.0773676203616436
305, -3.1607579665399657, -3.079580902549409
306, -3.1609255330089776, -3.0810982411002934
307, -3.1607410926616195, -3.0763885731668954
308, -3.1612089359039914, -3.0797163732316952
309, -3.161110088352686, -3.074224777965373
310, -3.160917696911189, -3.071382774140885
311, -3.160819501355885, -3.072068845187814
312, -3.1612492067934883, -3.0802479745805074
313, -3.1616340021929386, -3.0735139463002534
314, -3.162119772418823, -3.0820341998805807
315, -3.161795999771083, -3.080666340097434
316, -3.162104644684689, -3.081269725791011
317, -3.1615053936195054, -3.0823955187322976
318, -3.1624537081153514, -3.077094377992227
319, -3.1622340919699, -3.0787012655944888
320, -3.162210035725767, -3.0770238002023924
321, -3.1626844650980255, -3.076213762274851
322, -3.1627100183692716, -3.0784444747676116
323, -3.162483473950251, -3.0784308170337247
324, -3.1628440965717006, -3.080394482915138
325, -3.164147427526898, -3.079592774663314
326, -3.16431102981511, -3.0859957850140507
327, -3.1626665235556564, -3.080539519180966
328, -3.1649617686440137, -3.075160601292554
329, -3.1634888454865133, -3.078946323248514
330, -3.16446114503142, -3.0858543062094044
331, -3.16435771610442, -3.0813173097836173
332, -3.1638972359849435, -3.0741271686146368
333, -3.1646700343450873, -3.076509243067651
334, -3.165359820150655, -3.07925116360879
335, -3.1653164290571216, -3.086217246261624
336, -3.164358159002342, -3.081420573700959
337, -3.166046701649698, -3.0817469295402287
338, -3.165025935096727, -3.0767852549073864
339, -3.164585757553424, -3.0803346205179456
340, -3.166026657003128, -3.075553575358358
341, -3.1658947040686933, -3.0674060284227904
342, -3.1655249901044002, -3.0822494948152857
